Game name: Wii Sports, year: 2006, publisher: Nintendo
Game name: Donkey Kong Country 2: Diddy's Kong Quest, year: 1995, publisher: Nintendo
Game name: FIFA Soccer 13, year: 2012, publisher: Electronic Arts
Game name: Medal of Honor: Rising Sun, year: 2003, publisher: Electronic Arts
Game name: Kirby's Dream Land, year: 1992, publisher: Nintendo
Game name: Microsoft Flight Simulator, year: 1996, publisher: Microsoft Game Studios
Game name: Guitar Hero II, year: 2006, publisher: RedOctane
Game name: Mario & Sonic at the Olympic Games, year: 2008, publisher: Sega
Game name: Super Mario Bros., year: 1999, publisher: Nintendo
Game name: The Legend of Zelda: Phantom Hourglass, year: 2007, publisher: Nintendo
Game name: FIFA Soccer 11, year: 2010, publisher: Electronic Arts
Game name: Resident Evil 5, year: 2009, publisher: Capcom
Game name: Resident Evil, year: 1996, publisher: Virgin Interactive
Game name: Fable III, year: 2010, publisher: Microsoft Game Studios
Game name: Tony Hawk's Pro Skater, year: 1999, publisher: Activision
Game name: Grand Theft Auto: Vice City Stories, year: 2006, publisher: Take-Two Interactive
Game name: Warzone 2100, year: 1999, publisher: Eidos Interactive
Game name: Spyro the Dragon, year: 1998, publisher: Sony Computer Entertainment
Game name: Guitar Hero III: Legends of Rock, year: 2007, publisher: Activision
Game name: Link's Crossbow Training, year: 2007, publisher: Nintendo
Game name: Pok?mon Mystery Dungeon: Explorers of Time / Darkness, year: 2007, publisher: Nintendo
Game name: Madden NFL 06, year: 2005, publisher: Electronic Arts
Game name: Diddy Kong Racing, year: 1997, publisher: Nintendo
Game name: Monster Hunter Freedom 3, year: 2010, publisher: Capcom
